X,Y,FID,solmutunnu,linjoja,lyhyt_nro,nimi_s,nimi_r,nousijat,nettiosoit,P_koord,I_koord
24.976690358698594,60.275386890460979,8349,4500208,0,V5008,Rantatie,Strandvägen,0,http://aikataulut.hsl.fi/pysakit/fi/4500208.html,6685295,2554223
25.091133275404829,60.334680870936602,8350,4800902,0,XV8001,Ullantie,Ullavägen,0, ,6692000,2560446
25.075568799380019,60.324422435097034,8351,4740202,6,V7402,Koivukylän koulu,Koivukylän koulu,173,http://aikataulut.hsl.fi/pysakit/fi/4740202.html,6690843,2559605
25.077077090013542,60.349336522588445,8352,4810201,8,V8101,Maakotkanpolku,Kungsörnsstigen,174,http://aikataulut.hsl.fi/pysakit/fi/4810201.html,6693620,2559643
25.074693950278728,60.321485330817893,8353,4740203,8,V7403,Lehmipolku,Kostigen,75,http://aikataulut.hsl.fi/pysakit/fi/4740203.html,6690515,2559562
25.076741230826585,60.349590535660681,8354,4810202,9,V8102,Korson asema,Korso station,707,http://aikataulut.hsl.fi/pysakit/fi/4810202.html,6693648,2559624
25.076803855930709,60.350388894065134,8355,4810203,2,V8103,Korson asema,Korso station,315,http://aikataulut.hsl.fi/pysakit/fi/4810203.html,6693737,2559626
24.964838542711412,60.315416256495404,8356,4530210,0,V5310,Teletie,Televägen,118,http://aikataulut.hsl.fi/pysakit/fi/4530210.html,6689745,2553502
25.072768697676825,60.320172390261597,8357,4740204,8,V7404,Sauvatie,Stavvägen,392,http://aikataulut.hsl.fi/pysakit/fi/4740204.html,6690367,2559458
25.065582366292571,60.352902745557472,8358,4810204,5,V8104,Teeritie,Orrvägen,19,http://aikataulut.hsl.fi/pysakit/fi/4810204.html,6694007,2559002
25.073844594324409,60.319320038479404,8359,4740205,8,V7405,Sauvatie,Stavvägen,22,http://aikataulut.hsl.fi/pysakit/fi/4740205.html,6690273,2559519
25.065474478003843,60.352373996555038,8360,4810205,5,V8105,Teeritie,Orrvägen,87,http://aikataulut.hsl.fi/pysakit/fi/4810205.html,6693948,2558997
25.074571623235542,60.317761319316801,8361,4740206,5,V7406,Havukosken koulu,Havukosken koulu,129,http://aikataulut.hsl.fi/pysakit/fi/4740206.html,6690100,2559562
25.061081121215196,60.353198982610827,8362,4810206,5,V8106,Joutsentie,Svanvägen,7,http://aikataulut.hsl.fi/pysakit/fi/4810206.html,6694036,2558753
24.973313442056007,60.269388877730769,8363,4500209,7,V5009,Tammisto,Rosendal,35,http://aikataulut.hsl.fi/pysakit/fi/4500209.html,6684624,2554046
25.006000481330048,60.292913709069126,8364,4680246,1,V6846,Peltolantie,Peltolavägen,2,http://aikataulut.hsl.fi/pysakit/fi/4680246.html,6687272,2555815
25.075760039663432,60.317581127818087,8365,4740207,5,V7407,Havukosken koulu,Havukosken koulu,68,http://aikataulut.hsl.fi/pysakit/fi/4740207.html,6690081,2559628
24.967060215735653,60.318344158187955,8366,4530211,0,V,Ulkom.L.1B (Lentoas),Utrikes Pf.1B(Fl.st),0,http://aikataulut.hsl.fi/pysakit/fi/4530211.html,6690073,2553620
24.972205654446203,60.270420209787297,8367,4500210,7,V5010,Tammisto,Rosendal,35,http://aikataulut.hsl.fi/pysakit/fi/4500210.html,6684738,2553983
24.996993687285492,60.288700055246402,8368,4680247,1,V6847,Kuriiritie,Kurirvägen,1,http://aikataulut.hsl.fi/pysakit/fi/4680247.html,6686795,2555324
25.060648744466505,60.35271779667454,8369,4810207,5,V8107,Joutsentie,Svanvägen,40,http://aikataulut.hsl.fi/pysakit/fi/4810207.html,6693982,2558730
25.073023074490241,60.314685995864281,8370,4740208,2,V7408,Hanabölentie,Hanabölevägen,5,http://aikataulut.hsl.fi/pysakit/fi/4740208.html,6689756,2559482
24.966274508300611,60.318089599314121,8371,4530212,0,V5312,Lentoasema T2,Airport T2,39,http://aikataulut.hsl.fi/pysakit/fi/4530212.html,6690044,2553577
25.07360828016369,60.315426362564573,8372,4740209,5,V7409,Hanabölentie,Hanabölevägen,3,http://aikataulut.hsl.fi/pysakit/fi/4740209.html,6689839,2559513
24.985184364602031,60.294613474030108,8373,4680248,2,V6848,Köyhämäki,Fattigbacka,12,http://aikataulut.hsl.fi/pysakit/fi/4680248.html,6687444,2554661
24.97409963249687,60.269697255731778,8374,4500211,0,V5011,Kirkonkylänpolku,Kyrkobystigen,0,http://aikataulut.hsl.fi/pysakit/fi/4500211.html,6684659,2554089
25.056278441177142,60.35370395358067,8375,4810208,5,V8108,Viklotie,Snäppvägen,5,http://aikataulut.hsl.fi/pysakit/fi/4810208.html,6694088,2558487
24.970819498036217,60.31574073436672,8376,4530213,4,V5313,Lentoasema T1,Airport T1,241,http://aikataulut.hsl.fi/pysakit/fi/4530213.html,6689786,2553832
25.070121681653628,60.310625342222487,8377,4740210,2,V7410,Rosenlundintie,Rosenlundsvägen,2,http://aikataulut.hsl.fi/pysakit/fi/4740210.html,6689301,2559329
